index,lat,lon,x,y,prob,prediction,shape
115,22.9133670185,90.9284550803,181,9,0.356581777334,fck,fck
116,22.976485913,89.4638156875,191,175,0.574285030365,zigzag,zigzag
117,24.6233725977,88.2424695149,105,23,0.236253559589,fck,fck
118,26.1031842803,89.6875149858,42,51,0.826725125313,zigzag,zigzag
119,22.9350257398,91.1864253434,54,216,0.997161507607,zigzag,zigzag
120,24.0961260745,90.1407623286,44,56,0.998526453972,zigzag,zigzag
121,23.4358102968,91.0977009351,200,148,0.999746024609,zigzag,zigzag
122,23.9799596019,89.1892800955,338,633,4.76406021335e-05,fck,fck
123,23.873870604,90.5625588537,396,184,0.552644729614,zigzag,zigzag
124,25.4330288013,89.3014485482,29,149,0.520449280739,zigzag,fck
125,24.1350938431,90.8212648119,146,3,0.543201267719,zigzag,zigzag
126,23.9214539353,90.3336974523,183,335,0.481051564217,fck,fck
127,23.7808053692,90.3220612596,181,730,0.469984054565,fck,zigzag
128,22.3888892919,91.892407281,163,1,0.192241281271,fck,fck
129,24.4150243865,88.6631747629,636,286,0.509337484837,zigzag,zigzag
130,23.6326799222,90.3718308012,159,309,0.506896913052,zigzag,fck
131,22.6237267854,89.1388361785,38,103,0.52234095335,zigzag,fck
132,23.9145440451,89.2391354677,576,219,0.957674741745,zigzag,zigzag
133,24.4761089674,89.088784624,93,277,0.674319326878,zigzag,None
134,23.210756038,90.6997776015,27,175,0.919973611832,zigzag,zigzag
135,23.6784115105,88.6756815212,119,186,0.000191797633306,fck,fck
136,24.6905665549,90.9205096106,123,33,0.998439371586,zigzag,zigzag
137,24.6017724986,88.933786663,27,180,0.999772846699,zigzag,zigzag
138,24.5467761651,89.5081533686,31,207,0.912195503712,zigzag,zigzag
139,23.2788492023,90.3890950326,31,149,0.501323878765,zigzag,zigzag
140,23.6365953538,90.4487105568,34,2323,0.532810688019,zigzag,zigzag
141,22.12035933,90.7897526867,81,121,0.500662267208,zigzag,None
142,23.2547299771,91.2937995364,157,13,0.999997735023,zigzag,zigzag
143,22.7270160981,91.8004335666,93,116,0.0301694348454,fck,fck
144,25.5686793424,89.2483438757,91,74,0.999927520752,zigzag,zigzag
145,24.4359165196,89.436202729,110,163,0.754130363464,zigzag,zigzag
146,23.5956702352,90.4769120885,93,143,0.5119561553,zigzag,zigzag
147,24.0095866484,89.1874408719,157,35,0.639115869999,zigzag,zigzag
148,24.149604242,90.1707540236,417,38,0.999861598015,zigzag,zigzag
149,23.1749861892,89.6538938774,65,221,0.502692997456,zigzag,fck
150,23.6336314137,90.146807261,74,101,0.561519980431,zigzag,zigzag
151,22.9397711051,90.7451452522,82,67,5.46855467576e-08,fck,fck
152,25.858697436,88.6021614074,47,14,0.812514424324,zigzag,zigzag
153,24.2448600789,91.4470195753,188,189,0.773736715317,zigzag,zigzag
154,26.0540020102,88.4413637423,28,116,0.467675745487,fck,fck
155,23.9792825,90.3469399017,1071,295,0.521436333656,zigzag,fck
156,24.2552574372,90.7782391132,154,78,0.81114166975,zigzag,zigzag
157,23.0414558269,90.4479626245,33,22,0.995850920677,zigzag,zigzag
158,22.592690937,92.0746748761,319,306,4.40140684077e-05,fck,fck
159,23.2687456954,90.2317183351,32,82,0.709802031517,zigzag,zigzag
160,23.6140512972,90.4522664153,924,597,0.585376083851,zigzag,fck
161,23.9366427314,90.0881971609,396,249,0.444140046835,fck,zigzag
162,25.525355245,89.3582684646,198,79,0.495423853397,fck,zigzag
163,24.1251236022,89.1348634448,141,3,0.587262690067,zigzag,fck
164,24.8941074929,89.1741003303,205,67,0.969368875027,zigzag,zigzag
165,25.3199599799,89.2214666083,154,122,0.997551262379,zigzag,zigzag
166,24.2741579971,90.5463245918,255,204,0.010381934233,fck,fck
167,24.9427996086,92.0009585779,83,118,0.558536171913,zigzag,zigzag
168,22.8948172121,90.7874720422,30,159,0.933904886246,zigzag,zigzag
169,23.421641143,91.2176922382,115,78,0.999056398869,zigzag,None
170,23.0401909029,91.369109834,146,107,0.999680995941,zigzag,zigzag
171,23.9657281106,89.4259888785,40,2,0.530419588089,zigzag,zigzag
172,24.5414883299,91.8710109162,57,48,0.518090605736,zigzag,fck
173,22.8493107173,89.564004625,26,58,0.508985996246,zigzag,zigzag
174,23.5140291902,89.1995920442,189,130,1.01556815935e-05,fck,fck
175,25.6678871899,89.2663928422,78,202,0.967244386673,zigzag,zigzag
